NewsId|Text
n_d1_outside|재난 발생 이후 수개월, 외부의 감염 확산은 여전히 멈추지 않고 있다.
n_d1_outside|당국은 안전 구역 밖으로의 이동을 자제하고, 각 대피소 내에서 대기할 것을 거듭 권고했다.
n_d1_outside|감염 경로와 정확한 원인은 아직 밝혀지지 않았다.
n_d2_shelter|○○ 지역의 한 정부 대피소가 내부 감염자로 인해 초토화되었다는 소식이 전해졌다.
n_d2_shelter|생존자의 증언에 따르면, 감염 사실이 뒤늦게 드러나며 대피소 전체로 피해가 번진 것으로 보인다.
n_d2_shelter|당국은 각 시설에 내부 인원에 대한 경계를 강화할 것을 당부했다.
n_d3_utility|인근 정수 시설의 시스템 오류로 인해, 오늘 정오를 기점으로 해당 구역 전체에 제한 급수가 실시된다.
n_d3_utility|당국은 각 대피소에 비상 식수를 통제하고 1인당 배급량을 절반으로 축소할 것을 지시했다.
n_d3_utility|또한 지역 배전망 과부하로 돌발적인 단전이 발생할 수 있으니, 시설 내 비상 발전기 및 배전반 점검을 즉각 실시할 것을 당부했다.
n_d3_brief|당국은 잠복기 감염자들에게서 발열이나 기침 등 뚜렷한 신체적 이상 대신, 뇌 전두엽 손상으로 인한 '공간 지각력 저하' 및 '인지 능력 교란'이 우선적으로 발생한다고 밝혔다.
n_d3_brief|이로 인해 환자들은 익숙한 사물의 위치를 혼동하거나, 사물의 용도에 맞지 않는 엉뚱한 행동을 무의식적으로 반복할 수 있다.
n_d3_brief|의료진은 이러한 초기 증상이 극심한 스트레스나 수면 부족으로 인한 단순한 실수와 임상적으로 구별하기 매우 어렵다며, 시설 내 동거인들의 행동 변화를 주의 깊게 관찰할 것을 권고했다.
n_d4_brief|감염 중기 증상 및 돌발 행동에 대한 당국의 추가 브리핑이 발표되었다.
n_d4_brief|초기 인지 능력 교란을 겪은 감염자는 점차 특정한 행동이나 사물에 강박적인 집착을 보인다.
n_d4_brief|또한 극도의 불안감으로 인해 타인과의 소통을 거부하고, 생존 필수품(물, 식량)을 엉뚱한 곳에 숨기거나 훼손하는 '비이성적 은신 및 파괴 행동'이 다수 보고되었다.
n_d4_brief|방역 책임자는 내부 인원의 야간 동선을 엄격히 통제할 것을 지시했다.
n_d5_research|아직 기능을 유지하고 있는 정부 기관은 감염자에 대한 조사를 계속하고 있다.
n_d5_research|그러나 잠복기에는 감염자를 구분하기가 어려워, 잠복기 후반부 증상에 대한 연구는 여전히 부족한 상황이라고 밝혔다.
n_d5_research|당국은 추가 정보가 확보되는 대로 신속히 공유하겠다고 전했다.
n_d6_progress|최근 여러 국가의 공동 연구로, 이 미지의 감염에 대한 대응법이 조금씩 성과를 보이고 있다는 소식이 전해졌다.
n_d6_progress|관계 기관은 아직 초기 단계이지만, 머지않아 구체적인 대응 지침을 공유할 수 있을 것이라 밝혔다.
n_d6_progress|생존자들 사이에서는 오랜만에 희망적인 소식이라는 반응이 나오고 있다.
n_d7_warning|최근 떠도는 정보에 따르면, 감염자는 완전한 변이 직전 각혈 증상을 보인다고 한다.
n_d7_warning|그러나 이미 인지 능력을 상실한 상태라, 본인은 이를 전혀 인식하지 못하는 것으로 알려졌다.
n_d7_warning|각혈은 잠복기 최후반에 나타나는 증상인 만큼, 발견 즉시 집단에서 벗어나거나 감염자를 찾아 처리할 것을 당국은 강력히 경고했다.
